iter	Passed	Remaining
417	2562	3567
418	2564	3555
419	2566	3544
420	2569	3533
421	2571	3522
422	2575	3513
423	2589	3517
424	2591	3506
425	2594	3495
426	2596	3484
427	2599	3473
428	2602	3463
429	2605	3453
430	2626	3467
431	2629	3457
432	2631	3446
433	2641	3445
434	2644	3435
435	2647	3424
436	2650	3414
437	2652	3402
438	2654	3391
439	2656	3380
440	2658	3370
441	2660	3359
442	2670	3357
443	2673	3347
444	2676	3337
445	2678	3327
446	2680	3316
447	2683	3305
448	2684	3294
449	2686	3283
450	2689	3273
451	2691	3263
452	2699	3259
453	2708	3257
454	2711	3248
455	2715	3239
456	2720	3232
457	2723	3222
458	2726	3213
459	2729	3203
460	2733	3196
461	2738	3189
462	2743	3181
463	2745	3171
464	2749	3163
465	2751	3153
466	2754	3143
467	2757	3134
468	2760	3124
469	2764	3117
470	2768	3109
471	2771	3100
472	2773	3090
473	2807	3115
474	2810	3105
475	2812	3095
476	2815	3086
477	2822	3081
478	2846	3095
479	2849	3087
480	2852	3077
481	2854	3067
482	2857	3058
483	2860	3049
484	2863	3040
485	2866	3031
486	2869	3022
487	2871	3013
488	2874	3004
489	2877	2995
490	2880	2985
491	2882	2976
492	2902	2985
493	2905	2975
494	2907	2966
495	2910	2957
496	2918	2953
497	2921	2944
498	2923	2935
499	2925	2925
500	2927	2916
501	2930	2907
502	2933	2898
503	2936	2890
504	2945	2887
505	2948	2878
506	2950	2868
507	2952	2859
508	2955	2850
509	2957	2841
510	2971	2843
511	2977	2837
512	2988	2836
513	2990	2827
514	2992	2818
515	2994	2809
516	2997	2800
517	3002	2794
518	3020	2799
519	3022	2790
520	3025	2781
521	3028	2773
522	3059	2790
523	3063	2783
524	3080	2786
525	3082	2777
526	3084	2768
527	3087	2760
528	3091	2752
529	3094	2744
530	3109	2746
531	3141	2763
532	3157	2766
533	3160	2758
534	3163	2749
535	3166	2740
536	3169	2732
537	3171	2723
538	3174	2714
539	3203	2728
540	3205	2719
541	3207	2710
542	3209	2701
543	3211	2692
544	3214	2683
545	3233	2688
546	3248	2690
547	3251	2682
548	3254	2673
549	3257	2664
550	3259	2656
551	3263	2648
552	3265	2639
553	3268	2630
554	3270	2622
555	3278	2618
556	3281	2609
557	3283	2601
558	3286	2592
559	3291	2585
560	3294	2578
561	3296	2569
562	3299	2561
563	3301	2552
564	3306	2545
565	3309	2537
566	3324	2538
567	3328	2531
568	3335	2526
569	3384	2552
570	3387	2545
571	3390	2536
572	3392	2528
573	3394	2519
574	3396	2510
575	3398	2502
576	3401	2493
577	3403	2485
578	3406	2477
579	3409	2469
580	3412	2460
581	3425	2460
582	3428	2452
583	3431	2444
584	3433	2435
585	3436	2427
586	3440	2420
587	3443	2412
588	3455	2411
589	3458	2403
590	3461	2395
591	3464	2387
592	3466	2379
593	3471	2372
594	3473	2364
595	3476	2356
596	3479	2348
597	3482	2341
598	3492	2337
599	3506	2337
600	3510	2330
601	3512	2322
602	3515	2314
603	3517	2306
604	3519	2298
605	3535	2298
606	3538	2291
607	3550	2289
608	3552	2280
609	3555	2272
610	3557	2265
611	3560	2257
612	3572	2255
613	3574	2247
614	3576	2238
615	3578	2230
616	3580	2222
617	3583	2214
618	3637	2239
619	3640	2231
620	3642	2223
621	3645	2215
622	3649	2208
623	3652	2200
624	3655	2193
625	3658	2185
626	3661	2178
627	3664	2170
628	3667	2163
629	3670	2155
630	3672	2147
631	3676	2140
632	3679	2133
633	3693	2132
634	3696	2124
635	3698	2116
636	3707	2113
637	3710	2105
638	3739	2112
639	3742	2104
640	3744	2097
641	3746	2089
642	3778	2097
643	3781	2090
644	3785	2083
645	3789	2076
646	3826	2087
647	3830	2080
648	3833	2073
649	3836	2065
650	3845	2061
651	3847	2053
652	3850	2046
653	3853	2038
654	3856	2031
655	3858	2023
656	3861	2016
657	3866	2009
658	3868	2001
659	3871	1994
660	3881	1990
661	3884	1983
662	3913	1989
663	3916	1981
664	3919	1974
665	3924	1968
666	3927	1960
667	3929	1953
668	3932	1945
669	3935	1938
670	3938	1931
671	3942	1924
672	3945	1916
673	3954	1912
674	3956	1904
675	3958	1897
676	3961	1889
677	3963	1882
678	3966	1875
679	3968	1867
680	3971	1860
681	3983	1857
682	3986	1850
683	3988	1842
684	3990	1835
685	3993	1827
686	3995	1820
687	3999	1813
688	4001	1806
689	4004	1799
690	4005	1791
691	4007	1783
692	4010	1776
693	4012	1769
694	4027	1767
695	4030	1760
696	4051	1761
697	4054	1754
698	4057	1747
699	4066	1742
700	4080	1740
701	4083	1733
702	4085	1726
703	4088	1718
704	4090	1711
705	4092	1704
706	4095	1697
707	4097	1689
708	4100	1682
709	4102	1675
710	4108	1669
711	4111	1663
712	4114	1656
713	4116	1648
714	4119	1641
715	4122	1635
716	4139	1633
717	4141	1626
718	4154	1623
719	4169	1621
720	4172	1614
721	4174	1607
722	4185	1603
723	4188	1596
724	4190	1589
725	4193	1582
726	4195	1575
727	4197	1568
728	4200	1561
729	4203	1554
730	4206	1547
731	4212	1542
732	4215	1535
733	4218	1528
734	4221	1522
735	4225	1515
736	4228	1508
737	4230	1501
738	4233	1495
739	4235	1488
740	4237	1480
741	4240	1474
742	4244	1468
743	4249	1462
744	4253	1455
745	4255	1448
746	4269	1446
747	4271	1439
748	4273	1432
749	4275	1425
750	4300	1425
751	4303	1419
752	4315	1415
753	4319	1409
754	4321	1402
755	4323	1395
756	4326	1388
757	4328	1381
758	4332	1375
759	4336	1369
760	4339	1362
761	4342	1356
762	4344	1349
763	4357	1346
764	4359	1339
765	4372	1335
766	4375	1329
767	4377	1322
768	4379	1315
769	4382	1308
770	4385	1302
771	4388	1296
772	4390	1289
773	4393	1282
774	4396	1276
775	4400	1270
776	4403	1263
777	4407	1257
778	4415	1252
779	4417	1246
780	4420	1239
781	4430	1235
782	4433	1228
783	4435	1222
784	4438	1215
785	4440	1209
786	4442	1202
787	4445	1195
788	4447	1189
789	4449	1182
790	4452	1176
791	4458	1170
792	4490	1172
793	4494	1166
794	4497	1159
795	4503	1154
796	4520	1151
797	4523	1145
798	4526	1138
799	4528	1132
800	4534	1126
801	4536	1119
802	4538	1113
803	4541	1107
804	4549	1101
805	4552	1095
806	4555	1089
807	4558	1083
808	4562	1077
809	4564	1070
810	4567	1064
811	4570	1058
812	4608	1060
813	4611	1053
814	4613	1047
815	4617	1041
816	4619	1034
817	4622	1028
818	4624	1022
819	4627	1015
820	4629	1009
821	4631	1002
822	4633	996
823	4635	990
824	4637	983
825	4640	977
826	4669	976
827	4684	973
828	4686	966
829	4688	960
830	4691	954
831	4693	947
832	4695	941
833	4699	935
834	4702	929
835	4704	922
836	4707	916
837	4710	910
838	4712	904
839	4715	898
840	4717	891
841	4719	885
842	4722	879
843	4725	873
844	4728	867
845	4732	861
846	4734	855
847	4737	849
848	4740	843
849	4742	836
850	4745	830
851	4748	824
852	4750	818
853	4753	812
854	4757	806
855	4761	800
856	4764	795
857	4783	791
858	4785	785
859	4788	779
860	4791	773
861	4798	768
862	4801	762
863	4812	757
864	4814	751
865	4816	745
866	4818	739
867	4821	733
868	4825	727
869	4828	721
870	4841	717
871	4844	711
872	4846	705
873	4848	698
874	4857	693
875	4860	688
876	4863	682
877	4866	676
878	4868	670
879	4870	664
880	4872	658
881	4874	652
882	4894	648
883	4896	642
884	4899	636
885	4901	630
886	4903	624
887	4906	618
888	4909	612
889	4911	607
890	4915	601
891	4929	596
892	4931	590
893	4934	585
894	4937	579
895	4941	573
896	4952	568
897	4955	562
898	4957	556
899	4959	551
900	4961	545
901	4963	539
902	4966	533
903	4968	527
904	4970	521
905	4972	515
906	4997	512
907	4999	506
908	5002	500
909	5004	494
910	5028	491
911	5030	485
912	5032	479
913	5059	476
914	5061	470
915	5065	464
916	5067	458
917	5070	452
918	5073	447
919	5075	441
920	5079	435
921	5082	429
922	5087	424
923	5091	418
924	5094	413
925	5102	407
926	5107	402
927	5111	396
928	5114	390
929	5116	385
930	5119	379
931	5123	373
932	5130	368
933	5134	362
934	5138	357
935	5141	351
936	5143	345
937	5146	340
938	5156	334
939	5159	329
940	5164	323
941	5178	318
942	5180	313
943	5182	307
944	5185	301
945	5187	296
946	5191	290
947	5194	284
948	5197	279
949	5201	273
950	5204	268
951	5238	264
952	5245	258
953	5248	253
954	5251	247
