iter	Logloss
0	0.6830782597
1	0.67479001
2	0.6669778814
3	0.6574534687
4	0.6487004143
5	0.6408953544
6	0.6323639504
7	0.6251489855
8	0.618896984
9	0.6114275817
10	0.6046167014
11	0.596780372
12	0.5898082108
13	0.5830018903
14	0.5763721793
15	0.5693971466
16	0.5625686091
17	0.5549159515
18	0.5486331427
19	0.5421060243
20	0.5354416455
21	0.5294443112
22	0.5236348358
23	0.5184965055
24	0.5135338377
25	0.5084814542
26	0.504278827
27	0.4994206355
28	0.4949001741
29	0.4899617819
30	0.4852256559
31	0.4802027154
32	0.4756990393
33	0.4707057173
34	0.4669475348
35	0.4619232454
36	0.458070004
37	0.4540694522
38	0.450609309
39	0.4465635246
40	0.4416728381
41	0.4380765294
42	0.4336001074
43	0.4293479348
44	0.4249623206
45	0.4214347862
46	0.4175721649
47	0.4144806944
48	0.4113002508
49	0.4072208735
50	0.4046445023
51	0.4020362825
52	0.3984940875
53	0.3955071186
54	0.3918783131
55	0.3886410563
56	0.3854220458
57	0.3822960225
58	0.3789729419
59	0.3756726357
60	0.3724880792
61	0.3697339439
62	0.3666525945
63	0.3633832748
64	0.3602313361
65	0.3573174272
66	0.3544680948
67	0.3522833947
68	0.3506016154
69	0.3479069385
70	0.3449211522
71	0.3426599625
72	0.3394234276
73	0.3367120217
74	0.334002933
75	0.3320279692
76	0.3298814781
77	0.3274475366
78	0.3245693537
79	0.322537958
80	0.3199305154
81	0.3177874446
82	0.3153116607
83	0.3136569596
84	0.3119686666
85	0.3100649148
86	0.3083096263
87	0.306257248
88	0.3043132389
89	0.3024588473
90	0.3011866509
91	0.300045272
92	0.2984121557
93	0.296423845
94	0.2947373275
95	0.2927215256
96	0.2902742636
97	0.2891809847
98	0.2868542299
99	0.2853060491
100	0.283234175
101	0.2818921728
102	0.2802485659
103	0.2782565175
104	0.2766106691
105	0.2753437191
106	0.2737083464
107	0.2723875588
108	0.2710197546
109	0.269907399
110	0.2695815742
111	0.2678394018
112	0.2665009703
113	0.265437487
114	0.2637750691
115	0.2622760179
116	0.2605527038
117	0.2597983121
118	0.2585164683
119	0.257091286
120	0.2561403123
121	0.254465835
122	0.2530222344
123	0.2521515744
124	0.2507723579
125	0.2493192211
126	0.247794816
127	0.2463716053
128	0.2448574156
129	0.2435240431
130	0.2425223799
131	0.2412279355
